feature,mean_abs_shap
V14,3.1030688
V4,2.4454594
V12,1.235659
V10,1.1039318
V3,1.043386
V11,0.817071
V8,0.77272856
V16,0.6558045
V1,0.63905865
V7,0.6368261
V26,0.6279259
V22,0.55577075
Amount,0.5442623
V19,0.52181506
V15,0.51776135
V21,0.50492734
V24,0.46947384
V25,0.46686783
V20,0.46394566
V18,0.45034337
time_hours,0.4487183
V13,0.43189767
V27,0.37129515
V6,0.33512753
V5,0.31632122
V28,0.28917277
V9,0.2842536
V23,0.2818932
V2,0.25508368
V17,0.19826254
amount_log,0.088706896
is_night,0.000119492724
